"#","kpi_layer","role","data_role","antifragility_property","theme","source_deliverable","section","original_term","standardised_variable_name","definition","unit","spatial_scale","temporal_scale","static_or_dynamic","time_series_possible","update_frequency","data_type","expected_data_source","availability","availability_notes","proxy_possible","proxy_variable","collection_method","priority","remarks"
"11","Layer 1","KPI","input","Stressor Response","infrastructure","D2.1","3.3.1.1.4 Table 6","""Power outage (grid overloads, equipment failure) — Raw Affected (%): 44.1""","disruption_type_power_outage_prevalence","Weighted percentage of survey respondents experiencing power outages due to grid overload or equipment failure","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","150.3 weighted occurrences; Utilities domain"
"12","Layer 1","KPI","input","Stressor Response","social","D2.1","3.3.1.1.4 Table 6","""Strikes (transport & related services) — Raw Affected (%): 36.9""","disruption_type_strike_prevalence","Weighted percentage of survey respondents experiencing transport strikes","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","128.5 weighted occurrences"
"13","Layer 1","KPI","input","Stressor Response","social","D2.1","3.3.1.1.4 Table 6","""Excessive noise (construction, nightlife) — Raw Affected (%): 36.8""","disruption_type_noise_prevalence","Weighted percentage of survey respondents experiencing excessive noise from construction or nightlife","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 6)","ESS≈36","no","—","Structured questionnaire; post-stratification","low","124.3 weighted occurrences; Public Space domain"
"14","Layer 1","KPI","input","General/Context","disruption","D2.1","3.3.1.2.1 Table 9","""Extremely disruptive — % of Incidents: 15.7""","disruption_severity_distribution","Distribution of reported incidents across five severity levels (Extremely disruptive to Not disruptive) as % of incidents","% incidents per level","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 9)","Five-level: Extremely disruptive 15.7%, Very disruptive 17.4%, Moderately disruptive 26.3%, Slightly disruptive 17.6%, Not disruptive 23.0%","no","—","Structured questionnaire; post-stratification","high","Moderately disruptive is modal category"
"15","Layer 1","KPI","input","General/Context","disruption","D2.1","3.3.1.1.7 Table 7","""Temporal Distribution of Disruption Events — Past week: 38.45%""","disruption_temporal_recency_distribution","Percentage of all reported disruption events falling within each temporal window (past week, month, 3 months, 6 months)","% events per window","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 7)","Past week 38.45%, past month 22.82%, past 3 months 16.34%, past 6 months 22.39%","no","—","Structured questionnaire","high","Supports near-real-time monitoring justification"
"16","Layer 1","KPI","input","General/Context","disruption","D2.1","3.3.1.1.6 Table 8","""Weighted Average Disruptions per Person (6 months) — Urban centre: 12.8""","disruption_rate_per_capita_by_settlement","Average number of disruptions per person over 6 months, disaggregated by settlement type (urban centre, suburban, mixed-use, rural, remote, coastal)","disruptions · person⁻¹ (6 months)","neighbourhood","irregular","quasi-static","no","survey cycle","numeric","Citizen survey; Eurostat population data","available (D2.1 Table 8)","Urban centre 12.8; suburban 11.9; mixed-use 15.2; rural 10.1; remote 9.8; coastal 13.6","no","—","Weighted survey; post-stratification to Eurostat","high","Mixed-use areas highest; coastal estimate unreliable (n=1.9)"
"17","Layer 1","KPI","input","General/Context","disruption","D2.1","3.3.1.1.3 Table 5","""Average Events/Person — City-level ranking""","disruption_intensity_city","Average disruption events per person for top-10 cities, derived from weighted survey data","events · person⁻¹","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 5)","Statistical caution: small sample sizes in many cities (±50–75% margin of error)","yes","disruption_rate_per_capita_by_settlement","Weighted survey; post-stratification","medium","Reliable only for Cardiff (n=30.3) and Odesa (n=15.2)"
"18","Layer 1","KPI","input","General/Context","environment","D2.1","3.3.1.2.2 Table 10","""% experiencing extreme weather — by country""","extreme_weather_exposure_rate","Weighted percentage of respondents experiencing extreme weather events, by country","% respondents per country","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 10)","UK 69.2%, Spain 75%, Ukraine 66.7%, Greece 82.3%, Switzerland 85.7% (most reliable)","no","—","Weighted survey; post-stratification","medium","Many country-level estimates unreliable due to n=1–2 raw respondents"
"19","Layer 1","KPI","input","Adaptive Capacity","social","D2.1","3.3.1.3.1 Table 11","""Did nothing and waited — Weighted Usage Rate: 30.0%""","coping_strategy_passive_wait","Weighted percentage of respondents who did nothing and waited as their primary coping strategy during disruptions","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36; ±8–15% margin of error","no","—","Structured questionnaire; post-stratification","high","Most common coping strategy; baseline passivity indicator"
"20","Layer 1","KPI","input","Adaptive Capacity","social","D2.1","3.3.1.3.1 Table 11","""Postponed or cancelled trip/activity — Weighted Usage Rate: 20.1%""","coping_strategy_trip_cancellation","Weighted percentage of respondents who postponed or cancelled a trip or activity in response to a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","Second most common coping strategy"
"21","Layer 1","KPI","input","Adaptive Capacity","social","D2.1","3.3.1.3.1 Table 11","""Worked or studied remotely — Weighted Usage Rate: 17.1%""","coping_strategy_remote_work","Weighted percentage of respondents who worked or studied remotely in response to a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","Significant demand-side adaptive response"
"22","Layer 1","KPI","input","Adaptive Capacity","demand","D2.1","3.3.1.3.1 Table 11","""Changed mode (walked, cycled, car shared) — Weighted Usage Rate: 15.5%""","coping_strategy_mode_change","Weighted percentage of respondents who changed their transport mode (walked, cycled, car-shared) during a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","Directly observable modal shift indicator"
"23","Layer 1","KPI","input","Adaptive Capacity","digital","D2.1","3.3.1.3.1 Table 11","""Sought information via an app/social media — Weighted Usage Rate: 14.6%""","coping_strategy_digital_info_seeking","Weighted percentage of respondents who sought disruption information via app or social media","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","Supports inclusion of crowdsourced data in monitoring"
"24","Layer 1","KPI","input","Adaptive Capacity","demand","D2.1","3.3.1.3.1 Table 11","""Changed transport route — Weighted Usage Rate: 13.7%""","coping_strategy_rerouting","Weighted percentage of respondents who changed their transport route during a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","high","Rerouting capacity indicator"
"25","Layer 1","KPI","input","Adaptive Capacity","social","D2.1","3.3.1.3.1 Table 11","""Sought help from friends/family — Weighted Usage Rate: 13.4%""","coping_strategy_social_support","Weighted percentage of respondents who sought help from friends or family during a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","low","Social network resilience indicator"
"26","Layer 1","KPI","input","Adaptive Capacity","governance","D2.1","3.3.1.3.1 Table 11","""Contacted service providers/authorities — Weighted Usage Rate: 7.0%""","coping_strategy_authority_contact","Weighted percentage of respondents who contacted service providers or authorities during a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","Governance interface indicator"
"27","Layer 1","KPI","input","Adaptive Capacity","social","D2.1","3.3.1.3.1 Table 11","""Used a community-based solution (mutual aid) — Weighted Usage Rate: 6.1%""","coping_strategy_mutual_aid","Weighted percentage of respondents who used a community-based solution or mutual aid arrangement during a disruption","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 11)","ESS≈36","no","—","Structured questionnaire; post-stratification","medium","Lowest active coping rate; community resilience dimension"
"28","Layer 1","KPI","input","Equity Maintenance","governance","D2.1","3.3.1.3.2 Table 12","""72-Hour Emergency Preparedness Distribution — Fully prepared: 10.7%, Not prepared: 17.4%""","household_emergency_preparedness_level","72-hour emergency preparedness self-assessment on a 5-level ordinal scale: Fully prepared / Well prepared / Moderately prepared / Slightly prepared / Not prepared","ordinal level (% per level)","neighbourhood","irregular","quasi-static","no","survey cycle","ordinal","Citizen survey","available (D2.1 Table 12)","Over 60% slightly or not prepared","no","—","Structured questionnaire; post-stratification","high","Key social resilience baseline"
"29","Layer 1","KPI","input","General/Context","governance","D2.1 · D2.7 (catalogue KPIs E.3: ""Annual infrastructural investments""; E.2: satisfaction indicators)","3.3.1.4.1 Table 13","""The city invests enough in resilient [infrastructure] — Weighted Agree%: 15.7%, Weighted Disagree%: 36.8%, Weighted Gap: −21.1%""","perceived_city_infrastructure_investment","Net agreement (agree% minus disagree%) among survey respondents that the city invests adequately in resilient infrastructure; negative gap = net dissatisfaction","percentage points (weighted gap)","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Weighted gap = −21.1 pp; strongest dissatisfaction metric in the survey","no","—","Structured questionnaire; post-stratification","high","Most negative gap of all city performance indicators"
"30","Layer 1","KPI","input","General/Context","governance","D2.1","3.3.1.4.1 Table 13","""Traffic congestion significantly worsens during disruptions — Weighted Agree%: 34.5%, Gap: +20.3%""","perceived_congestion_worsening_disruption","Net agreement that traffic congestion significantly worsens during disruptions","percentage points (weighted gap)","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Weighted gap +20.3 pp","no","—","Structured questionnaire; post-stratification","high","Subjective congestion-disruption linkage"
"31","Layer 1","KPI","input","General/Context","governance","D2.1","3.3.1.4.1 Table 13","""Disruptions have become more frequent over the past three years — Weighted Agree%: 31.7%, Gap: +13.6%""","perceived_disruption_frequency_increase","Net agreement that disruptions have increased in frequency over the past three years","percentage points (weighted gap)","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Weighted gap +13.6 pp","no","—","Structured questionnaire; post-stratification","medium","Trend perception indicator"
"32","Layer 1","KPI","input","General/Context","governance","D2.1","3.3.1.4.1 Table 13","""My neighbourhood has the resources needed to recover from disruptions — Weighted Agree%: 16.2%, Gap: −5.3%""","perceived_neighbourhood_recovery_capacity","Net agreement that the respondent's neighbourhood has the resources needed to recover from disruptions","percentage points (weighted gap)","neighbourhood","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Weighted gap −5.3 pp (net dissatisfaction)","no","—","Structured questionnaire; post-stratification","high","Local resilience resource perception"
"33","Layer 1","KPI","input","General/Context","governance","D2.1","4.5","""fewer than 25% of survey respondents agreed that their city has robust contingency plans for transport disruptions""","perceived_contingency_plan_adequacy","Percentage of survey respondents agreeing their city has robust contingency plans for transport disruptions","% respondents","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 §4.5)","<25% agreement across AOIs","no","—","Weighted survey","high","Key antifragility signal: need for learning and feedback loops"
"34","Layer 1","KPI","input","General/Context","social","D2.1","3.3.1.4.1 Table 13","""Community support is strong and reliable during disruptions — Weighted Agree%: 25.1%, Gap: +1.7%""","perceived_community_support_reliability","Net agreement that community support is strong and reliable during disruptions","percentage points (weighted gap)","neighbourhood","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Gap near neutral (+1.7 pp)","no","—","Structured questionnaire; post-stratification","medium","Social capital proxy"
"35","Layer 1","KPI","input","General/Context","governance","D2.1","3.3.1.4.1 Table 13","""Public services meet residents' needs during disruptions — Weighted Agree%: 24.3%, Gap: +4.5%""","perceived_public_service_adequacy_during_disruption","Net agreement that public services adequately meet residents' needs during disruptions","percentage points (weighted gap)","city","irregular","quasi-static","no","survey cycle","numeric","Citizen survey","available (D2.1 Table 13)","Gap near neutral (+4.5 pp); data quality rated Low","no","—","Structured questionnaire; post-stratification","medium","Service quality perception"
"36","Layer 1","input_variable","input","Stressor Response","disruption","D2.1","3.3.2.6.1 Table 26","""Risk category distribution — social media posts: Transport 23.8%""","social_media_risk_category_distribution","Distribution of social media posts across 11 risk categories (transport, security, natural disaster, health, environment, etc.) as % of total posts","% posts per category","city","real-time","dynamic","yes","continuous","numeric","Social media monitoring (13,388 posts across European platforms)","available (D2.1 Table 26)","Transport dominant at 23.8%; 11 categories total","no","—","NLP classification pipeline (D2.1 Annex 4); 11-category taxonomy","high","Real-time risk discourse monitoring"
"37","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.6.2","""Urgency level assignment — five-tier urgency classification: Level 5 Critical to Level 1 Very Low""","social_media_post_urgency_level","Five-level urgency classification assigned to each social media post; Level 5 = Critical/Immediate, Level 1 = Very Low/Informational","ordinal 1–5","city","real-time","dynamic","yes","continuous","ordinal","Social media monitoring","available (D2.1 §3.3.2.6.2)","Distribution shown in D2.1 Figure 22","no","—","Automated NLP urgency classification pipeline","high","Dual classification: category + urgency level"
"38","Layer 1","KPI","input","Stressor Response","social","D2.1","3.3.2.6.3 Table 27","""Sentiment analysis distribution — Neutral: 94.5%, Positive: 3.3%, Negative: 2.1%""","social_media_post_sentiment","Sentiment classification of social media posts: Neutral / Positive / Negative","categorical","city","real-time","dynamic","yes","continuous","categorical","Social media monitoring","available (D2.1 Table 27)","94.5% neutral; possible classifier bias toward neutral in multilingual contexts","no","—","NLP sentiment analysis pipeline","medium","Predominant neutrality may reflect factual risk reporting style"
"39","Layer 1","input_variable","input","Stressor Response","disruption","D2.1","3.3.2.6.4.3 Table 31","""Transport Subcategory Breakdown — traffic congestion and public transit delays dominating discourse""","social_media_transport_subcategory","Breakdown of transport-domain social media posts by sub-category (congestion, PT delays, aviation disruption, etc.)","% posts per sub-category","city","real-time","dynamic","yes","continuous","categorical","Social media monitoring","available (D2.1 Table 31)","Traffic congestion and PT delays dominate","no","—","NLP sub-category classification","medium","Granular transport discourse analysis"
"40","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.4.1.2","""InterventionFlag — unified variable to reflect any evidence of disaster interventions""","emdat_intervention_flag","Binary flag indicating whether a disaster event triggered at least one humanitarian response or financial aid action","binary","region","irregular","dynamic","yes","per event","binary","EM-DAT International Disaster Database (n=4,179 records, 2000–2025)","available","Derived variable; not native EM-DAT field","yes","appeal_flag OR aid_contribution_flag","EM-DAT structured dataset; binary encoding of Yes/No intervention fields","high","Derived during D2.1 preprocessing; basis for intervention clustering"
"41","Layer 1","KPI","input","Stressor Response","governance","D2.1","3.3.2.4.1.2","""Appeal, AIDContribution — standardised using numerical values (1/0)""","emdat_appeal_flag","Binary indicator of whether an international humanitarian appeal was raised for a disaster event","binary","region","irregular","dynamic","yes","per event","binary","EM-DAT","available","Yes/No field standardised to 1/0","no","—","EM-DAT structured dataset","medium","Component of InterventionFlag"
"42","Layer 1","KPI","input","Stressor Response","governance","D2.1","3.3.2.4.1.2","""Declaration""","emdat_declaration_flag","Binary indicator of whether a government declaration of disaster was issued","binary","region","irregular","dynamic","yes","per event","binary","EM-DAT","available","Yes/No field standardised to 1/0","no","—","EM-DAT structured dataset","medium","Component of InterventionFlag"
"43","Layer 1","KPI","input","Stressor Response","economic","D2.1","3.3.2.4.2.6","""Human and economic impact metrics — Total number of deaths, injuries, affected, or homeless""","emdat_total_deaths","Total number of deaths attributed to a disaster event","count","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5, Table 45)","Significant data gaps for some disaster types and regions","yes","mortality_rate_per_event","EM-DAT structured dataset","high","Human impact metric; highly variable by disaster type"
"44","Layer 1","KPI","input","Stressor Response","economic","D2.1","3.3.2.4.2.6","""Total number of injuries""","emdat_total_injuries","Total number of injuries attributed to a disaster event","count","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5)","Data gaps common","no","—","EM-DAT structured dataset","medium","Human impact metric"
"45","Layer 1","KPI","input","Stressor Response","social","D2.1","3.3.2.4.2.6","""Total number of affected [people]""","emdat_total_affected","Total number of people affected (requiring assistance) by a disaster event","count","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5, Table 45)","Millions affected in Asia for floods/droughts","no","—","EM-DAT structured dataset","high","Broadest impact measure"
"46","Layer 1","KPI","input","Stressor Response","social","D2.1","3.3.2.4.2.6","""Homeless [persons]""","emdat_total_homeless","Total number of people made homeless by a disaster event","count","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5)","Common for floods and storms","no","—","EM-DAT structured dataset","medium","Displacement impact metric"
"47","Layer 1","KPI","input","Stressor Response","economic","D2.1","3.3.2.4.2.7","""Estimated damage and reconstruction costs""","emdat_estimated_damage_usd","Estimated economic damage from a disaster event in USD","USD","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5, Table 46)","Sporadic; best covered for earthquakes and floods","yes","reconstruction_cost","EM-DAT structured dataset","high","Earthquakes highest (Asia avg $26.3M per event)"
"48","Layer 1","KPI","input","Stressor Response","economic","D2.1","3.3.2.4.2.7","""Reconstruction costs by disaster type and region""","emdat_reconstruction_cost_usd","Estimated reconstruction costs following a disaster event","USD","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5, Table 46)","Sporadic coverage; many zero values","yes","estimated_damage_usd","EM-DAT structured dataset","medium","Distinct from estimated damage"
"49","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.4.2.7","""Recovery duration (in days) — epidemics: 73–135 days; floods: 7–30 days; storms: <5 days""","emdat_recovery_duration_days","Duration in days from disaster event onset to return to pre-event conditions, by disaster type","days","region","irregular","dynamic","yes","per event","numeric","EM-DAT","available (D2.1 Annex 5, Table 46)","Available only for subset of events; many zero values representing <1 day impact","yes","emdat_reconstruction_cost_usd","EM-DAT structured dataset","high","Epidemics longest (73–135 days); variable by disaster type and region"
"50","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.4.1.1","""Disaster group, type, subtype, and year start""","emdat_disaster_type","EM-DAT disaster classification: group (Natural, Technological, Human-induced/Social, Operational, Systemic/Structural) and specific type/subtype","categorical","region","irregular","dynamic","yes","per event","categorical","EM-DAT","available","Five-domain taxonomy mapped in D2.1 crosswalk","no","—","EM-DAT structured dataset; D2.1 five-domain crosswalk","high","D2.1 developed crosswalk to internal survey taxonomy"
"51","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.5.1 Table 23","""Emergency management records from 2012 to 2025 — Emergency management activations by disaster type""","copernicus_emergency_activation_type","Classification of Copernicus Emergency Management Service (CEMS) activations by disaster type (flood, storm, wildfire, etc.) and management phase (preparedness, response, recovery)","categorical","region","irregular","dynamic","yes","per activation","categorical","Copernicus Emergency Management Service (CEMS)","available (D2.1 Tables 23–25)","Data from 2012–2025","no","—","Copernicus CEMS structured records","high","Key secondary data source for large-scale events"
"52","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.5.2.2","""Emergency management activations between 2012 and 2025 — by disaster type and regions""","copernicus_emergency_activation_count","Count of Copernicus CEMS emergency management activations by disaster type and region per year","count","region","annual","dynamic","yes","annual","numeric","Copernicus CEMS","available (D2.1 Figure 16–21, Tables 23–25)","Systematic coverage from 2012","no","—","Copernicus CEMS structured records","high","Indicates spatial and temporal patterns of large-scale event management"
"53","Layer 1","KPI","input","Stressor Response","disruption","D2.1","3.3.2.6.4.1 Table 28","""Top 7 countries by data volume""","social_media_post_volume_by_country","Total number of social media posts related to risk events per country in the monitored dataset","count","city","irregular","dynamic","yes","per monitoring window","numeric","Social media monitoring","available (D2.1 Table 28)","7 countries detailed","no","—","NLP-based social media monitoring pipeline","medium","Geographic distribution of risk discourse"
"54","Layer 1","KPI","input","Stressor Response","digital","D2.1","3.3.2.6.4.2 Table 29","""Language coverage analysis""","social_media_language_distribution","Distribution of monitored social media posts by language","% posts per language","city","irregular","quasi-static","no","monitoring cycle","categorical","Social media monitoring","available (D2.1 Table 29)","Multilingual coverage; linguistic analysis shows language-specific risk communication patterns","no","—","NLP linguistic processing pipeline","medium","Language shapes risk framing"
"55","Layer 1","KPI","input","Stressor Response","disruption","D2.1 · D2.6 (DEL-R13: ""Interdisciplinary Propagation of Disruptive Events"")","4.4","""Transport-related: congestion → increased travel time → modal shift → public-transport overload""","cascade_pathway_type","Classification of disruption cascade chain type: (1) Transport congestion → travel time → modal shift → PT overload; (2) Flooding → road closure → rerouting → accessibility drop; (3) Power outage → signal failure → PT headway irregularity; (4) Protest → street closure → bus rerouting → dwell time","categorical","city","irregular","dynamic","yes","event-based","categorical","D2.1 event catalogue; operator incident logs","available (D2.1 §4.4)","Four canonical pathways identified in D2.1","no","—","GT coding; mobility impact pathway mapping","high","Explicitly described in D2.1 Figure 26"
"56","Layer 2","computed_variable","output","Network Diversity","supply","D2.3 · D2.7 (catalogue KPI A.2.9: ""Mobility throughput""); D3.2 (§Stage 3, Table 3: exposure proxy M(t) and Q(t) for Expi,s formula)","§KPI table","""Mobility throughput: avg. multi-modal trips per capita per hour""","mobility_throughput_M","Average multi-modal trips per capita per hour across all monitored modes; D2.3 core KPI M(t)","trips · h⁻¹ · cap⁻¹","city","hourly","dynamic","yes","daily average","numeric","Smart-card logs (AFC, >90% coverage); CDR; GPS probes","not yet collected (pilot phase)","Requires AFC >90% coverage per D2.3","yes","public_transport_ridership","AFC system; CDR aggregation; GPS probe data","high","D2.3 KPI M(t); antifragility gate: M↑ post-disruption signals overcompensation"
"57","Layer 2","computed_variable","output","Structural Redundancy","infrastructure","D2.3 · D2.7 (catalogue KPI A.2.10: ""Network redundancy""); D3.2 (Annex B Indicator R1: formally defines per-element Ri = 1 − 1/(1 + Nalt,i))","§KPI table","""Redundancy ratio: dormant links / active links (pre-event)""","network_redundancy_ratio_R","Ratio of dormant (unused or underutilised) links to active links in the transport network prior to an event; D2.3 core KPI R(t)","ratio (dimensionless)","city","weekly","quasi-static","yes","weekly snapshot","numeric","OpenStreetMap; traffic sensors","not yet collected","Requires network topology database and real-time link status monitoring","yes","alternative_route_count","Network topology snapshot; automated link-status monitoring","high","D2.3 KPI R(t); dominant first-order sensitivity factor (S_i > 0.12)"
